learner_level,learner_skills,learner_goals,formation_id,formation_title,formation_level,formation_skills,formation_category,label
BEGINNER,French|Communication|Angular,french training,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Communication|Angular,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
ADVANCED,PostgreSQL,security,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,Business English|Communication|French,english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
INTERMEDIATE,Project Management|Agile|Business English|REST APIs,project,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,PostgreSQL,scrum,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
ADVANCED,TypeScript,language,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
INTERMEDIATE,Agile|Business English,francais,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
INTERMEDIATE,Angular|Project Management|Agile,fullstack,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
INTERMEDIATE,Business English|Project Management,java,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
INTERMEDIATE,Java|Spring Boot|Angular|REST APIs,java,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Business English|Communication,english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,French,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
ADVANCED,French|Agile,java,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,French|Communication|PostgreSQL|Agile,french career,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Java|Spring Boot|Angular|TypeScript|REST APIs|French,fullstack,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
INTERMEDIATE,Java|Spring Boot|Spring Security|Communication,auth,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
ADVANCED,Communication|Business English|Spring Boot,fullstack,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
BEGINNER,Business English|Communication|REST APIs|Project Management,it english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
ADVANCED,Spring Security|Agile,rest,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,Java|REST APIs|PostgreSQL,api,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,PostgreSQL|TypeScript,ui,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
INTERMEDIATE,TypeScript|Spring Security,french,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
BEGINNER,PostgreSQL|French|Business English,management,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
BEGINNER,Spring Boot,francais,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
INTERMEDIATE,Communication|French|Agile,frontend,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
ADVANCED,Spring Boot|Java|Spring Security,presentation,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
INTERMEDIATE,Communication|Business English|Spring Boot,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Angular|TypeScript|PostgreSQL|Business English,ui,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
INTERMEDIATE,Project Management|Agile,scrum job,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
BEGINNER,Business English|Communication|Spring Security,it english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
ADVANCED,REST APIs|Spring Boot|Business English,it english,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
BEGINNER,Business English|Agile|French,french,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
ADVANCED,French|Angular,fullstack,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
INTERMEDIATE,Communication|Business English|PostgreSQL,presentation career,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Angular|TypeScript|French,typescript,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
INTERMEDIATE,Project Management|Agile,management career,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,Spring Boot|Java,business,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
INTERMEDIATE,Communication|Spring Boot,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Java|REST APIs|PostgreSQL|Spring Security,spring,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
ADVANCED,Agile|French,typescript,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
ADVANCED,Spring Security|TypeScript|Agile,angular,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
ADVANCED,Java,scrum,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|PostgreSQL|French,full stack job,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
INTERMEDIATE,Project Management|Agile|TypeScript,scrum,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
INTERMEDIATE,PostgreSQL|Java|Spring Boot,spring,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,Angular|TypeScript|Spring Security,ui,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
ADVANCED,Java|Spring Boot|Spring Security|PostgreSQL,spring,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
ADVANCED,Java|Project Management|Spring Boot,typescript,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
ADVANCED,Agile,full stack,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
ADVANCED,Project Management|Java,jwt,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
INTERMEDIATE,Spring Boot|Java,presentation,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
INTERMEDIATE,TypeScript,francais,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
BEGINNER,Angular|TypeScript|PostgreSQL|Agile,ui training,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
ADVANCED,Business English|PostgreSQL|Spring Security,typescript,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
BEGINNER,PostgreSQL|Business English,francais,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
INTERMEDIATE,Communication|Business English|Project Management,communication,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Business English|Communication,it english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
ADVANCED,Spring Security|Project Management|Java,security,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,French|Communication,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
ADVANCED,Java|Spring Boot|Spring Security|REST APIs|Business English,spring,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
INTERMEDIATE,Project Management|Agile|Java,management,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,Spring Boot|TypeScript|Java,francais,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
BEGINNER,Angular,francais,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
BEGINNER,Business English|Communication|Spring Security|French,language,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
ADVANCED,Agile|Spring Security|Spring Boot,angular,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
ADVANCED,PostgreSQL|REST APIs,full stack,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,PostgreSQL|Java|TypeScript,angular,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
INTERMEDIATE,REST APIs|Angular,spring,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
ADVANCED,Java|PostgreSQL|Communication,backend,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,Project Management|Agile,agile,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
BEGINNER,Angular|TypeScript|PostgreSQL,typescript,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
ADVANCED,Java|Spring Boot|Spring Security|REST APIs|Business English|French,spring job,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,Java|Spring Boot|Spring Security|Project Management|Communication,spring career,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
ADVANCED,Spring Boot,language,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
BEGINNER,Business English,it english career,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Angular|Communication|Project Management,frontend,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
ADVANCED,Java|Angular,auth,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
INTERMEDIATE,Communication|Business English|Angular|Java,communication,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,French|Communication|Java,francais career,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,java,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Java|REST APIs|PostgreSQL,backend career,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,French,frontend,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
ADVANCED,Spring Boot|French|Communication,project,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Business English,francais,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
BEGINNER,Java|REST APIs|Agile,api,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
ADVANCED,Java|Spring Boot|Spring Security,spring,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
INTERMEDIATE,Project Management|Agile|Communication,project,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs|Project Management,fullstack,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Business English,it english career,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,TypeScript|Agile,rest,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
BEGINNER,Angular|TypeScript,francais,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
INTERMEDIATE,Communication|Business English,communication,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
INTERMEDIATE,Communication,presentation,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
ADVANCED,Project Management|Spring Boot|Spring Security,angular,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
INTERMEDIATE,Agile|Spring Boot|Spring Security,english,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,TypeScript,language,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,Java|Spring Boot|Spring Security|Business English,jwt,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Business English|Communication|Project Management|Agile,english training,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
INTERMEDIATE,Java|Spring Boot|Angular,angular,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
BEGINNER,Business English|Communication|REST APIs|Agile,language,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Java|REST APIs,rest,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,Business English|Communication|Spring Security,language,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
INTERMEDIATE,Communication|Business English,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Angular,french,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
ADVANCED,Java|Spring Boot|Spring Security|Agile,jwt career,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
ADVANCED,Spring Boot|Spring Security|Communication,agile,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
INTERMEDIATE,Communication|French,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
ADVANCED,Java|Spring Boot|Spring Security,spring career,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Business English|Communication|Java|Project Management,language,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,French|Communication|Spring Boot,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Angular|TypeScript|Business English,frontend,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Business English|Java|Angular,english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Spring Security|Angular|Java,business,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
BEGINNER,Business English|Communication,it english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
ADVANCED,Business English|Spring Boot|Agile,communication,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
INTERMEDIATE,Communication|REST APIs,jwt,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Java|Spring Boot|Spring Security|French|REST APIs,jwt,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
ADVANCED,Spring Security|Communication|Java,management,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,REST APIs|French,frontend,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
BEGINNER,French|Agile,french,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
ADVANCED,Communication,language,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Java|Spring Boot|Spring Security|REST APIs|French,jwt,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
ADVANCED,Spring Security|Agile,rest,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
INTERMEDIATE,REST APIs|Java,typescript,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,0
BEGINNER,Angular|TypeScript|Spring Security,ui,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,Java|Spring Boot|Spring Security,auth job,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
INTERMEDIATE,Java|Spring Boot|Spring Security|Business English|PostgreSQL,auth,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
ADVANCED,Agile|Spring Security,communication,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,0
INTERMEDIATE,Business English,full stack,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,French|Communication|PostgreSQL,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Communication|Angular|PostgreSQL,angular,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
INTERMEDIATE,Communication|French|Spring Security,french,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,French,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,French|Communication,french,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,Business English|Communication,scrum,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
BEGINNER,Angular|TypeScript|PostgreSQL|Spring Boot,angular,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Angular,typescript,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Business English|Communication|Java,it english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Java|REST APIs|PostgreSQL|French,backend,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,French|Angular|Business English,language career,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Communication|Business English|Spring Security|Agile,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
ADVANCED,Java|Spring Boot|Spring Security|Communication|PostgreSQL,spring,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,REST APIs|Spring Boot,auth,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
ADVANCED,Angular|Business English|Spring Boot,agile,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
INTERMEDIATE,REST APIs|Spring Boot|French,french,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
BEGINNER,Java|REST APIs|Business English,spring job,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,French|Communication|Spring Boot|Spring Security,language job,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Communication|Business English|French|Spring Security,communication,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
ADVANCED,Angular|Project Management|Spring Security,frontend,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
ADVANCED,REST APIs|PostgreSQL,security,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
INTERMEDIATE,Spring Security|French|Project Management,french,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
ADVANCED,TypeScript|Java|REST APIs,language,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,0
BEGINNER,French|Communication|PostgreSQL,language job,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
BEGINNER,French|Communication|Angular,francais,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Communication,business,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
BEGINNER,Java|REST APIs|Agile|Angular,backend,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
INTERMEDIATE,Communication|Project Management|French,business job,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript,fullstack career,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
BEGINNER,Business English|TypeScript,it english training,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Project Management|Agile|PostgreSQL|Spring Boot,project,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,Spring Security|REST APIs,project,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,0
INTERMEDIATE,Business English|Communication,spring,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,0
INTERMEDIATE,Communication|Business English|PostgreSQL|Angular,presentation,6,Business Communication,INTERMEDIATE,Communication|Business English,Management,1
INTERMEDIATE,Project Management|Agile|Spring Boot,agile,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,TypeScript|Spring Boot,communication,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
BEGINNER,Business English|Communication,language career,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,Business English|Communication|Agile,it english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
ADVANCED,TypeScript|Agile|Business English,agile,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,0
ADVANCED,Agile|Angular,presentation,8,French Workplace Communication,BEGINNER,French|Communication,Languages,0
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|Agile,fullstack,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
INTERMEDIATE,Project Management|Agile|TypeScript|French,management job,5,Project Management Professional,INTERMEDIATE,Project Management|Agile|Communication,Management,1
ADVANCED,Java|Spring Boot|Spring Security|Business English,spring,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,1
BEGINNER,Angular|TypeScript,frontend,3,Angular Essentials,BEGINNER,Angular|TypeScript,IT,1
BEGINNER,Business English|Communication|Spring Security|Java,english,7,Professional English for IT,BEGINNER,Business English|Communication,Languages,1
BEGINNER,French|Angular,french,8,French Workplace Communication,BEGINNER,French|Communication,Languages,1
INTERMEDIATE,Java|Spring Boot|Angular|TypeScript,java,4,Full Stack Java Angular,INTERMEDIATE,Java|Spring Boot|Angular|TypeScript|REST APIs,IT,1
ADVANCED,Business English|Angular,english,1,Spring Boot Fundamentals,BEGINNER,Java|REST APIs|PostgreSQL,IT,1
BEGINNER,Agile|Project Management,language,2,Advanced Spring Security,ADVANCED,Java|Spring Boot|Spring Security|REST APIs,Cybersecurity,0
